short_title,gutenberg_title,gutenberg_id,genre,year,circa,labels,new_testament,jaynes
Job,"The Bible, King James version, Book 18: Job",8018,Wisdom,-750,c. 800 - 700 BCE,1,0,OLD
Amos,"The Bible, King James version, Book 30: Amos",8030,Prophecy,-720,c. 800 - 700 BCE,0,0,JAYNES
Hosea,"The Bible, King James version, Book 28: Hosea",8028,Prophecy,-715,c. 800 - 700 BCE,0,0,OLD
Micah,"The Bible, King James version, Book 33: Micah",8033,Prophecy,-710,c. 800 - 700 BCE,0,0,OLD
Isaiah,"The Bible, King James version, Book 23: Isaiah",8023,Prophecy,-705,c. 800 - 700 BCE,0,0,OLD
Genesis,"The Bible, King James version, Book 1: Genesis",8001,Epic,-700,c. 800 - 700 BCE,0,0,OLD
Nahum,"The Bible, King James version, Book 34: Nahum ",8034,Prophecy,-700,c. 800 - 700 BCE,0,0,OLD
Joshua,"The Bible, King James version, Book 6: Joshua",8006,Epic,-640,c. 700 - 600 BCE,1,0,OLD
Zephaniah,"The Bible, King James version, Book 36: Zephaniah",8036,Prophecy,-640,c. 700 - 600 BCE,0,0,OLD
Judges,"The Bible, King James version, Book 7: Judges",8007,Epic,-630,c. 700 - 600 BCE,0,0,OLD
Joel,"The Bible, King James version, Book 29: Joel",8029,Prophecy,-630,c. 700 - 600 BCE,0,0,OLD
1 Samuel,"The Bible, King James version, Book 9: 1 Samuel",8009,Epic,-620,c. 700 - 600 BCE,0,0,OLD
Deuteronomy,"The Bible, King James version, Book 5: Deuteronomy",8005,Law,-615,c. 700 - 600 BCE,0,0,OLD
2 Samuel,"The Bible, King James version, Book 10: 2 Samuel ",8010,Epic,-615,c. 700 - 600 BCE,0,0,OLD
1 Kings,"The Bible, King James version, Book 11: 1 Kings",8011,Epic,-610,c. 700 - 600 BCE,0,0,OLD
2 Kings,"The Bible, King James version, Book 12: 2 Kings ",8012,Epic,-605,c. 700 - 600 BCE,0,0,OLD
Habakkuk,"The Bible, King James version, Book 35: Habakkuk",8035,Prophecy,-605,c. 700 - 600 BCE,0,0,OLD
Jeremiah,"The Bible, King James version, Book 24: Jeremiah",8024,Prophecy,-590,c. 600 - 500 BCE,1,0,OLD
Obadiah,"The Bible, King James version, Book 31: Obadiah",8031,Prophecy,-590,c. 600 - 500 BCE,0,0,OLD
